shap_potassium,shap_phosphorus,shap_protein_per_kg,shap_sodium,shap_potassium_ratio,shap_phosphorus_ratio,shap_protein_ratio,shap_sodium_ratio,shap_ckd_stage_encoded,top_feature
-0.015200988,-0.019470543,0.6284024,-2.5172062,-0.08269623,-4.080965,1.383895,0.0,0.0,phosphorus_ratio
-0.039127886,-0.040685177,-0.27006772,-1.9832482,-0.09416519,-3.190885,-1.2001964,0.0,0.0,phosphorus_ratio
-0.007892892,-0.014698975,0.3841938,-2.2355795,0.09885228,3.141224,2.0535717,0.0,0.0,phosphorus_ratio
0.0008541432,0.014130451,0.50881827,2.0595102,0.072069176,2.5876062,1.2368029,0.0,0.0,phosphorus_ratio
-0.0016917165,0.014130451,0.5388629,2.1098692,-0.013342093,2.6172035,1.1993726,0.0,0.0,phosphorus_ratio
-0.03927467,-0.031555817,-0.23493102,-1.7593937,-0.09493247,-4.412276,0.1375973,0.0,0.0,phosphorus_ratio
0.05007441,0.014130451,0.50810355,2.0355272,0.065753594,2.596041,1.2101613,0.0,0.0,phosphorus_ratio
-0.017324002,0.03448173,-0.30549926,2.3495631,-0.025735214,3.485765,-1.2314488,0.0,0.0,phosphorus_ratio
-0.07772334,0.059758667,0.3522493,-2.2893147,-0.09237237,3.1137981,2.2065463,0.0,0.0,phosphorus_ratio
0.05007441,0.014130451,0.50810355,2.0310402,0.072069176,2.596041,1.2083328,0.0,0.0,phosphorus_ratio
0.05007441,0.014130451,0.50810355,2.0310402,0.072069176,2.596041,1.2083328,0.0,0.0,phosphorus_ratio
